Product,Total_Customers,Age_Range,Age_Average,Income_Range,Income_Average,Usage_Range,Usage_Average,Fitness_Range,Fitness_Average,Miles_Range,Miles_Average,Education_Range,Education_Average,Most_Common_Gender,Gender_Split,Most_Common_Marital,Marital_Split
TM195,80,18-50 years,29 years,"$29,562-$68,220","$46,418",2-5 times/week,3.1 times/week,1-5 out of 5,3.0 out of 5,38-188 miles/week,83 miles/week,12-18 years,15.0 years,Female,"50% Male, 50% Female",Partnered,"40% Single, 60% Partnered"
TM498,60,19-48 years,29 years,"$31,836-$67,083","$48,974",2-5 times/week,3.1 times/week,1-4 out of 5,2.9 out of 5,21-212 miles/week,88 miles/week,12-18 years,15.1 years,Male,"52% Male, 48% Female",Partnered,"40% Single, 60% Partnered"
TM798,40,22-48 years,29 years,"$48,556-$104,581","$75,442",3-7 times/week,4.8 times/week,3-5 out of 5,4.6 out of 5,80-360 miles/week,167 miles/week,14-21 years,17.3 years,Male,"82% Male, 18% Female",Partnered,"42% Single, 57% Partnered"
